,Security Id,Security Name,Group,Industry
759,MMTC,MMTC LTD.,A ,Comm.Trading  &amp; Distribution
760,PMTELELIN,P.M.TELELINNKS LTD.,XT,Iron &amp; Steel/Interm.Products
761,SMPL,Splendid Metal Products Ltd,T ,Iron &amp; Steel/Interm.Products
762,SMFIL,Smiths &amp; Founders (India) Limited,XT,Other Industrial Products
763,BLOIN,BLOOM INDUSTRIES LTD.,P ,Iron &amp; Steel/Interm.Products
764,MAITRI,Maitri Enterprises Ltd,XT,Aluminium
765,TATAMETALI,TATA METALIKS LTD.,B ,Iron &amp; Steel/Interm.Products
766,SHAHALLOYS,SHAH ALLOYS LTD.,B ,Iron &amp; Steel/Interm.Products
768,ELANGO,ELANGO INDUSTRIES LTD.,XT,Iron &amp; Steel/Interm.Products
769,KANSHST,KANISHK STEEL INDUSTRIES LTD.,XT,Iron &amp; Steel Products
770,SIMPLEXCAS,SIMPLEX CASTINGS LTD.,XT,Other Industrial Products
771,SSWRL,SHREE STEEL WIRE ROPES LTD.,XT,Iron &amp; Steel Products
773,SOUTHMG,SOUTHERN MAGNESIUM &amp; CHEMICALS LTD.,P ,Mining
774,GUJCONT,GUJARAT CONTAINERS LTD.,P ,Iron &amp; Steel Products
775,KALYANIFRG,KALYANI FORGE LTD.,T ,Auto Parts &amp; Equipment
776,PANCHMAHQ,PANCHMAHAL STEEL LTD.,XT,Iron &amp; Steel/Interm.Products
777,SRIND,S.R.INDUSTRIES LTD.,XT,Textiles
779,TNSTLTU,TAMILNADU STEEL TUBES LTD.,P ,Iron &amp; Steel Products
780,MSCTC,MARDIA SAMYOUNG CAPILLARY TUBES COMPANY LTD.,Z ,Copper
781,SHRDAIS,SHARDA ISPAT LTD.,XT,Iron &amp; Steel/Interm.Products
782,MAHASTEEL,MAHAMAYA STEEL INDUSTRIES LTD.,B ,Iron &amp; Steel Products
783,REALSTR,REAL STRIPS LTD.-$,XT,Iron &amp; Steel/Interm.Products
784,NOVIS,NOVA IRON &amp; STEEL LTD.,XT,Iron &amp; Steel/Interm.Products
786,FFPL,FOUNDRY FUEL PRODUCTS LTD.,Z ,Coal
787,SURANAIND,SURANA INDUSTRIES LTD.,B ,Iron &amp; Steel/Interm.Products
788,HINDCOPPER,HINDUSTAN COPPER LTD.,A ,Copper
789,SRIPIPES,Srikalahasthi Pipes Limited,B ,Iron &amp; Steel Products
790,AXELPOLY,AXEL POLYMERS LTD.,XT,Plastic Products
791,MARGPROIN,MARG PROJECTS AND INFRASTRUCTURE LTD.,XT,Misc.Commercial Services
792,NLCINDIA,NLC India Ltd,A ,Electric Utilities
793,JMTAUTOLTD,JMT AUTO LTD.,T ,Auto Parts &amp; Equipment
795,WHITEORG,White Organic Agro Ltd,XT,Other Apparels &amp; Accessories
796,MFSINTRCRP,MFS INTERCORP LTD.,P ,Iron &amp; Steel/Interm.Products
797,HIMGRANI,HIMALAYA GRANITES LTD.-$,XT,Construction Materials
798,AROGRANITE,ARO GRANITE INDUSTRIES LTD.-$,B ,Construction Materials
799,RAJKSYN,RAJKAMAL SYNTHETICS LTD.,XT,Textiles
800,JBFIND,JBF INDUSTRIES LTD.,B ,Fibres &amp; Plastics
801,HIMATSEIDE,HIMATSINGKA SEIDE LTD.,B ,Textiles
802,BSL,BSL LTD.,B ,Textiles
804,ADINATH,ADINATH TEXTILES LTD.,XT,Textiles
806,SURYVANSP,SURYAVANSHI SPINNING MILLS LTD.-$,XT,Textiles
807,TTL,T T LTD.-$,B ,Textiles
808,UNIWORTH,UNIWORTH LTD.,XT,Textiles
809,WELSPUNIND,WELSPUN INDIA LTD.,A ,Textiles
810,GANECOS,GANESHA ECOSPHERE LTD.,B ,Misc.Commercial Services
811,CEETAIN,CEETA INDUSTRIES LTD.,XT,Construction Materials
812,VARDMNPOLY,VARDHMAN POLYTEX LTD.,B ,Textiles
813,RISHYRN,RISHAB SPECIAL YARNS LTD.,P ,Textiles
814,STCORP,S&amp;T CORPORATION LTD.,XT,Textiles
815,SUMEETINDS,SUMEET INDUSTRIES LTD.-$,B ,Textiles
816,BINNY,BINNY LTD.,Z ,Textiles
817,KLIFESTYL,K-Lifestyle &amp; Industries Limited,XT,Textiles
818,SANGAMIND,SANGAM (INDIA) LTD.,B ,Textiles
819,TRUPTWI,TRUPTI TWISTERS LTD.,P ,Comm.Trading  &amp; Distribution
820,KUSHIND,Kush Industries Ltd,XT,Textiles
821,SRECR,SREECHEM RESINS LTD.,P ,Commodity Chemicals
822,ZENIFIB,ZENITH FIBRES LTD.-$,XT,Textiles
823,AARVEEDEN,AARVEE DENIMS &amp; EXPORTS LTD.,B ,Textiles
824,SANTETX,SANRHEA TECHNICAL TEXTILES LTD.,XT,Textiles
825,ASHIMASYN,ASHIMA LTD.,B ,Textiles
826,PIONEEREMB,PIONEER EMBROIDERIES LTD.-$,B ,Textiles
827,JAIHINDS,JAIHIND SYNTHETICS LTD.,XT,Textiles
828,RAGHUSYN,RAGHUVIR SYNTHETICS LTD.,XT,Textiles
829,JATTAINDUS,JATTASHANKAR INDUSTIES LTD.,P ,Textiles
830,OMNITEX,OMNITEX INDUSTRIES (INDIA) LTD.,XT,Textiles
831,PATSPINLTD,PATSPIN INDIA LTD.,B ,Textiles
833,NEOINFRA,NEO INFRACON LTD.,XT,Realty
835,PREMIERPOL,PREMIER POLYFILM LTD.,B ,Commodity Chemicals
837,CITIZYN,CITIZEN YARNS LTD.,XT,Textiles
838,YARNSYN,YARN SYNDICATE LTD.,XT,Comm.Trading  &amp; Distribution
839,SHARDFI,SHARAD FIBRES &amp; YARN PROCESSORS LTD.,P ,Textiles
840,BPTEX,Blue Pearl Texspin Limited,XT,Commodity Chemicals
841,SRIKPRIND,SRI KPR INDUSTRIES LTD.,XT,Plastic Products
842,SOUTLAT,SOUTHERN LATEX LTD.,XT,Textiles
843,OSWAYRN,OSWAL YARNS LTD.,XT,Comm.Trading  &amp; Distribution
844,WINSOMTX,WINSOME TEXTILE INDUSTRIES LTD.-$,B ,Textiles
845,ASAHIIND,Asahi Industries Limited,P ,Textiles
846,THAMBBI,THAMBBI MODERN SPINNING MILLS LTD.,XT,Textiles
848,REGENCERAM,REGENCY CERAMICS LTD.,T ,Furniture-Furnishing-Paints
849,ASAHIINDIA,ASAHI INDIA GLASS LTD.,B ,Auto Parts &amp; Equipment
850,MURUDCERA,MURUDESHWAR CERAMICS LTD.,B ,Furniture-Furnishing-Paints
851,SAINTGOBAIN,SAINT-GOBAIN SEKURIT INDIA LTD.,XT,Construction Materials
