,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
6172,539267,DRHABEEB,Dr Habeebullah Life Sciences Ltd,Active,XT,10.0,INE579N01018,Comm.Trading  &amp; Distribution,Equity
6173,539268,SYNGENE,Syngene International Ltd,Active,A ,10.0,INE398R01022,Pharmaceuticals,Equity
6174,539273,PECOS,Pecos Hotels and Pubs Ltd,Active,M ,10.0,INE484S01010,Restaurants,Equity
6175,539275,MSL,Mangalam Seeds Ltd,Active,M ,10.0,INE829S01016,Other Agricultural Products,Equity
6176,539276,KAYA,Kaya Ltd,Active,B ,10.0,INE587G01015,Sp.Consumer Services,Equity
6178,539278,SYMBIOX,Symbiox Investment &amp; Trading Company Ltd,Active,XT,10.0,INE653R01012,Other Financial Services,Equity
6181,539287,ORTINLAABS,Ortin Laboratories Ltd,Active,B ,10.0,INE749B01012,Pharmaceuticals,Equity
6182,539288,AVI,AVI Polymers Ltd,Active,XT,10.0,INE897N01014,Specialty Chemicals,Equity
6183,539289,MJCO,Majesco Ltd,Active,B ,5.0,INE898S01029,IT Consulting &amp; Software,Equity
6184,539290,BINDALAGRO,Oswal Greentech Ltd,Active,B ,10.0,INE143A01010,Investment Companies,Equity
6185,539301,ARVSMART,Arvind SmartSpaces Ltd,Active,B ,10.0,INE034S01021,Realty,Equity
6186,539302,POWERMECH,Power Mech Projects Ltd,Active,B ,10.0,INE211R01019,Construction &amp; Engineering,Equity
6187,539303,MINDAFIN,Minda Finance Ltd,Active,XT,10.0,INE197E01018,Finance (including NBFCs),Equity
6188,539309,RAMASTEEL,Rama Steel Tubes Ltd,Active,B ,5.0,INE230R01027,Iron &amp; Steel Products,Equity
6189,539310,OYEEEE,Oyeeee Media Ltd,Active,M ,10.0,INE365S01011,Advertising &amp; Media,Equity
6190,539311,NFIL,Nishtha Finance and Investment (India) Ltd,Active,XT,10.0,INE217Q01018,Other Financial Services,Equity
6193,539314,UNIAUTO,Universal Autofoundry Ltd,Active,M ,10.0,INE203T01012,Auto Parts &amp; Equipment,Equity
6198,539331,VETO,Veto Switchgears and Cables Ltd,Active,B ,10.0,INE918N01018,Other Elect.Equip./ Prod.,Equity
6199,539332,NAVKARCORP,Navkar Corporation Ltd,Active,A ,10.0,INE278M01019,Transport Related Services,Equity
6200,539333,PENPEBS,Pennar Engineered Building Systems Ltd,Active,B ,10.0,INE455O01019,Realty,Equity
6201,539334,SHREEPUSHK,Shree Pushkar Chemicals &amp; Fertilisers Ltd,Active,B ,10.0,INE712K01011,Specialty Chemicals,Equity
6202,539335,CHPLIND,CHPL Industries Ltd,Active,XT,10.0,INE714Q01014,Comm.Trading  &amp; Distribution,Equity
6203,539336,GUJGAS,Gujarat Gas Ltd,Active,A ,10.0,INE844O01022,Integrated Oil &amp; Gas,Equity
6204,539337,HKT,H.K. Trade International Ltd,Active,M ,10.0,INE725P01012,Containers &amp; Packaging,Equity
6205,539346,SADBHIN,Sadbhav Infrastructure Project Ltd,Active,B ,10.0,INE764L01010,Roads &amp; Highways,Equity
6207,539351,PRABHAT,Prabhat Dairy Ltd,Active,B ,10.0,INE302M01033,Packaged Foods,Equity
6208,539352,PBFL,P. B. Films Ltd,Active,M ,10.0,INE212Q01019,Movies &amp; Entertainment,Equity
6209,539354,POLYSPIN,Polyspin Exports Ltd,Active,XT,10.0,INE914G01011,Containers &amp; Packaging,Equity
6210,539363,SKC,Sri Krishna Constructions (India) Ltd,Active,M ,10.0,INE094T01015,Realty,Equity
6211,539378,SML,Soni Medicare Ltd,Active,XT,10.0,INE848R01018,Healthcare Facilities,Equity
6212,539384,KRISHNACAP,Krishna Capital and Securities Ltd,Active,XT,10.0,INE897B01019,Finance (including NBFCs),Equity
6214,539393,KCL,Kabra Commercial Ltd,Active,XT,10.0,INE926E01010,Coal,Equity
6219,539398,VISHALBL,Vishal Bearings Ltd,Active,M ,10.0,INE060T01024,Industrial Machinery,Equity
6220,539399,BELLACASA,Bella Casa Fashion &amp; Retail Ltd,Active,M ,10.0,INE344T01014,Textiles,Equity
6221,539401,PJL,Patdiam Jewellery Ltd,Active,M ,10.0,INE473T01011,Other Apparels &amp; Accessories,Equity
6222,539402,VAL,Vaksons Automobiles Ltd,Active,M ,10.0,INE256S01012,Other Agricultural Products,Equity
6223,539403,ARAMBHAN,Arambhan Hospitality Services Ltd,Active,M ,10.0,INE800S01017,Restaurants,Equity
6224,539404,SATIN,Satin Creditcare Network Ltd,Active,B ,10.0,INE836B01017,Finance (including NBFCs),Equity
6225,539405,DITCO,Decorous Investment &amp; Trading Co Ltd,Active,XT,10.0,INE183R01010,Other Apparels &amp; Accessories,Equity
6226,539406,SWAGTAM,Swagtam Trading &amp; Services Ltd,Active,XT,10.0,INE150R01019,Comm.Trading  &amp; Distribution,Equity
6227,539408,KUBERJI,Kuber Udyog Ltd,Active,XT,10.0,INE594R01018,Finance (including NBFCs),Equity
6228,539409,NEERAJ,Neeraj Paper Marketing Ltd,Active,XT,10.0,INE894J01019,Comm.Trading  &amp; Distribution,Equity
6229,539410,SIENERGY,Sinner Energy India Ltd,Active,XT,1.0,INE873S01022,Comm.Trading  &amp; Distribution,Equity
